dataset,polity,avgtime,t_infomedia,t_techmilitary,t_warfare,t_communication,t_economy,t_infrastructure,t_politics,t_religion_moral,t_agriculturetech,t_alphabeth,SCALE,GOV,HIER
seshat-pca,CnMing*,1505,0,0.838618,0.596766,1,1,0.825944,0.792673,0.921601,1,0.726789,0.813949,0.810157,0.4973
seshat-pca,CnNSong,1041,0,0.838618,1,1,1,0.768555,0.792673,0.798415,1,0.726789,0.794064,1,0.635149
seshat-pca,CnNWei*,468,0,1,0.596766,0.766991,0.888912,0.630162,0.875325,0.861923,0.83702,0.726789,0.740625,0.549042,0.425551
seshat-pca,CnQingE,1720,0.663419,0.838618,1,1,1,0.825944,0.792673,0.782334,1,0.726789,0.864042,0.718423,0.628795
seshat-pca,CnQingL,1854,0.335358,0.734535,1,1,1,1,0.792673,0.831519,1,0,0.896843,0.907614,0.652553
seshat-pca,CnShang,-1171,0,0.708995,0.258256,0.530102,0.208281,0.370766,0,0.616433,0.449761,0.726789,0.581858,0.430427,0.290364
seshat-pca,CnSui**,592,0,0.838618,1,0.768115,1,0.571084,0.875325,0.901229,0.83702,0.726789,0.762967,0.824355,0.356388
seshat-pca,CnTangE,762,0,0.838618,1,1,1,0.571084,0.875325,0.917048,0.83702,0.726789,0.800943,1,0.431905
seshat-pca,CnTangL,762,0,0.838618,1,1,1,0.571084,0.875325,0.896797,1,0.726789,0.800635,1,0.542229
seshat-pca,CnWeiWS,-351,0.336581,0.708995,0.596766,0.680739,0.549327,0.409199,0.917348,0.784035,0.655848,0.726789,0.667234,0.733216,0.371682
seshat-pca,CnWHan*,11,0.328061,0.838618,1,0.916532,0.887039,0.768555,1,0.807899,0.655848,0.726789,0.763133,0.921174,0.518472
seshat-pca,CnWZhou,-930,0.335358,0.708995,0.596766,0.669426,0.774903,0.186228,0.258905,0.702581,0.449761,0.726789,0.663297,0.627706,0.39544
seshat-pca,CnYngsh,-3873,0,0.11607,0,0.098688,0,0,0,0.162569,0,0.726789,0.198994,0,0.108215
seshat-pca,CnYuan*,1249,0,0.838618,0.596766,0.886156,1,0.768555,0.792673,0.780882,1,0.726789,0.81267,1,0.371682
seshat-pca,EcJivaL,1830,0,0,0,0.117752,0,0.59004,0,0.289526,0.387259,0.062839,0.159761,0,0.047515
seshat-pca,EcJivaE,1621,0,0,0,0.20122,0,0.358595,0,0.260882,0.21464,0.062839,0.124791,0,0.077626
seshat-pca,EgAyyub,1212,0,0.895917,0.258256,1,1,0.583256,0.917348,0.854283,0.83702,0.823889,0.695138,0.817059,0.419197
seshat-pca,EgBadar,-4178,0,0.11607,0,0.216729,0,0.174056,0.658443,0.088049,0,0.6061,0.068094,0,0
seshat-pca,EgDyn2*,-2781,0.335358,0.708995,0.258256,0.767308,0.665897,0.358595,0.86577,0.470119,0,0.6061,0.517014,0.095253,0.255004
seshat-pca,EgDyn1*,-3013,0.335358,0.708995,0.258256,0.767308,0.665897,0.370766,0.86577,0.397248,0,0.6061,0.487254,0.095253,0.255004
seshat-pca,EgIntOc,-372,0,0.870377,0.596766,1,1,0.802529,1,0.593414,0.655848,0.6061,0.587538,0.618774,0.380145
seshat-pca,EgMamCP,1354,0,0.895917,1,1,1,0.802529,0.917348,0.837734,0.83702,0.6061,0.691848,0.821123,0.565986
seshat-pca,EgMamBu,1457,0,0.895917,1,1,1,0.802529,0.917348,0.873228,1,0.6061,0.7023,0.828003,0.525782
seshat-pca,EgMidKg,-1865,0.663419,0.708995,0.258256,0.886156,0.88912,0.358595,1,0.455846,0.449761,0.6061,0.568223,0.72024,0.285116
seshat-pca,EgNaqa2,-3416,0,0.46442,0.258256,0.182156,0.10332,0.370766,0.741095,0.238824,0,0.6061,0.314105,0.175501,0.092921
seshat-pca,EgNaqa3,-3216,0,0.604912,0.258256,0.405099,0.10332,0.370766,0.86577,0.32914,0,0.6061,0.373045,0.175501,0.092921
seshat-pca,EgNaqa1,-3666,0,0.11607,0,0.286251,0,0.370766,0.658443,0.114351,0,0.6061,0.242158,0,0.039052
seshat-pca,EgNKThu,-1418,0.663419,0.708995,0.258256,0.886156,1,0.358595,1,0.576427,0.449761,0.6061,0.617229,0.623206,0.419197
seshat-pca,EgNKRam,-1188,0.663419,0.838618,0.258256,0.886156,0.88912,0.358595,1,0.629923,0.449761,0.6061,0.655648,0.623206,0.380145
seshat-pca,EgOldK2,-2253,0.663419,0.708995,0.258256,0.886156,1,0.370766,1,0.467933,0.449761,0.6061,0.569438,0.650998,0.449308
seshat-pca,EgOldK1,-2503,0.663419,0.708995,0.258256,0.886156,1,0.358595,0.86577,0.440135,0.449761,0.6061,0.569438,0.650998,0.386654
seshat-pca,EgPtol2,-115,0,1,0.596766,1,1,0.8147,1,0.750027,0.441208,0.6061,0.640263,0.907614,0.48836
seshat-pca,EgRegns,-2090,0.663419,0.708995,0.258256,0.767308,0.662582,0.174056,1,0.493944,0.449761,0.6061,0.551954,0.72024,0.255004
seshat-pca,EgSaite,-596,0.663419,0.708995,0.258256,0.886156,1,0.358595,1,0.677708,0.655848,0.6061,0.590131,0.622837,0.356388
seshat-pca,EgThebH,-1322,0.335358,0.708995,0.258256,0.664309,0.664345,0.358595,1,0.624769,0.449761,0.6061,0.57949,0.618774,0.308873
seshat-pca,EgThebL,-878,0.663419,0.708995,0.258256,0.886156,1,0.358595,1,0.637472,0.449761,0.6061,0.586003,0.430427,0.308873
seshat-pca,EgTulIk,902,0,0.895917,0.596766,1,1,0.802529,0.917348,0.895603,0.387259,0.6061,0.659941,0.54438,0.434491
seshat-pca,FrAtlBA,-1678,0,0,0,0.313662,0,0.186228,0.435187,0.418891,0.449761,0.515941,0.534683,0,0.069163
seshat-pca,FrBeakr,-2708,0,0,0,0.313662,0,0.370766,0.435187,0.366581,0.21464,0.515941,0.456604,0,0.039052
seshat-pca,FrBurbL,1727,0,0.650224,1,0.895905,1,0.409961,0.917348,0.572384,1,0.515941,0.685873,0.90355,0.630904
seshat-pca,FrBurbE,1624,0,0.766294,0.596766,0.783559,1,0.212489,0.917348,0.605195,1,0.515941,0.657614,0.90355,0.583389
seshat-pca,FrCaptL,1232,0,0.650224,0.258256,0.782146,0.780845,0.212489,0.917348,0.825173,0.83702,0.515941,0.53568,0.90404,0.39544
seshat-pca,FrCaptE,1076,0,0.650224,0.258256,0.664106,0.559496,0.443934,0.917348,0.694622,0.83702,0.515941,0.475662,0.254927,0.300892
seshat-pca,FrCarlE,788,0,0.766294,0.258256,0.197312,1,0.61799,0.917348,0.752541,0.83702,0.515941,0.632326,0.351746,0.263467
seshat-pca,FrCarlL,896,0,0.766294,0.258256,0.664106,0.447064,0.802529,0.917348,0.752541,0.83702,0.515941,0.610329,0.526877,0.33263
seshat-pca,FrHallD,-544,0,0,0,0.301004,0,0.174056,0.435187,0.513937,0.655848,0.515941,0.59637,0,0.162084
seshat-pca,FrHallB,-807,0,0,0,0.083468,0,0.174056,0.435187,0.470107,0.655848,0.515941,0.547345,0.032844,0.161234
seshat-pca,FrHallC,-651,0,0,0,0.182156,0,0.174056,0.435187,0.493946,0.655848,0.515941,0.580811,0,0.162084
seshat-pca,FrHallA,-970,0,0,0,0,0,0.186228,0.435187,0.354864,0.449761,0.515941,0.50797,0.026275,0.085002
seshat-pca,FrMervM,617,0,0.650224,0,1,0.677525,0.802529,0.917348,0.709105,0.83702,0.515941,0.600567,0.620339,0.308873
seshat-pca,FrMervE,516,0,0.650224,0,1,0.556797,0.802529,0.917348,0.709105,0.83702,0.515941,0.577411,0.620339,0.292145
seshat-pca,FrMervL,717,0,0.650224,0,1,0.780845,0.571084,0.917348,0.709105,0.83702,0.515941,0.593579,0.620339,0.308873
seshat-pca,FrTeneB,-258,0,0.650224,0.258256,0.564208,0,0.61799,0.435187,0.560065,0.83702,0.515941,0.600677,0.159073,0.209598
seshat-pca,FrTeneC,-116,0,0.650224,0.258256,0.662896,0,0.61799,0.435187,0.632441,0.83702,0.515941,0.630964,0.159073,0.230854
seshat-pca,FrTeneA,-403,0,0,0,0.362988,0,0.386546,0.435187,0.460859,0.655848,0.515941,0.604793,0,0.181882
seshat-pca,FrValoL,1512,0,0.650224,0.33851,0.549455,1,0.212489,0.917348,0.742346,1,0.515941,0.61673,0.90355,0.583389
seshat-pca,FrValoE,1382,0,0.650224,0.258256,0.782146,0.773375,0.212489,0.917348,0.855481,1,0.515941,0.60461,1,0.39544
seshat-pca,GhAshnL,1794,0.336581,0.895917,0.258256,0.427103,0.439272,0.370766,0.600297,0.318449,0.420727,0.437023,0.510134,0.354842,0.386499
seshat-pca,GhAshnE,1500,0.336581,0.245693,0.258256,0.182156,0,0.370766,0.600297,0.273693,0.206087,0.437023,0.258607,0.078826,0.170547
seshat-pca,USKameh,1812,0,0,0,0.202783,0,0.186228,0.082652,0.163159,0.162981,0.706187,0.336045,0.358254,0.23077
seshat-pca,Hawaii3,1694,0,0.11607,0,0.328882,0,0,0,0.193812,0,0.706187,0.291514,0.166551,0.200658
seshat-pca,Hawaii1,1197,0.328061,0,0,0,0,0,0,0.049361,0,0.706187,0.170191,0.078826,0.039052
seshat-pca,IdMajap,1407,0,0.766294,0,0.700091,0.339997,0.59004,0.741095,0.487257,0.655848,0.590183,0.616859,0.817059,0.263467
seshat-pca,IdKedir,1053,0,0.766294,0,0.566895,0.229117,0.386546,0.741095,0.557392,0.655848,0.590183,0.434311,0.618774,0.200658
seshat-pca,IdMedng,850,0,0.766294,0,0.584834,0.342078,0.386546,0.741095,0.553214,0.83702,0.590183,0.410926,0.618774,0.173558
seshat-pca,IdMatrm,1650,0,0.766294,0,0.579746,0.223311,0.174056,0.917348,0.492254,0.818828,0.590183,0.579166,0.817059,0.293579
seshat-pca,InChaBd,782,0,0.604912,0,0.340983,0.565389,0.386546,0.741095,0.768477,0.83702,0.687284,0.687103,0.635345,0.356388
seshat-pca,InDecIA,-778,0,0,0,0.301407,0,0,0,0.489156,0.83702,0.687284,0.417199,0.176101,0.185841
seshat-pca,InDecKg,-137,0,0.488842,0,0.104095,0.10332,0.212489,0.658443,0.574085,0.83702,0.687284,0.751683,0.080247,0.440368
seshat-pca,InDecNL,-1853,0,0,0,0.083468,0,0.174056,0,0.045547,0.655848,0.687284,0.334347,0,0.039052
seshat-pca,InDelh*,1368,0,0.766294,0.596766,1,0.791719,0.827633,0.917348,0.83127,1,0.531892,0.772537,0.913509,0.602452
seshat-pca,InKadam,553,0,0.650224,0.258256,0.118041,0.55947,0.386546,0.741095,0.667141,0.83702,0.687284,0.715227,0.439522,0.33263
seshat-pca,InMaury,-247,0,0.766294,1,1,0.776984,0.802529,0.658443,0.838899,0.83702,0.531892,0.746822,0.715593,0.440368
seshat-pca,InMugl*,1679,0,0.766294,1,0.901312,0.782608,0.630162,0.917348,0.886942,1,0.531892,0.8022,0.920826,0.416611
seshat-pca,InRasht,832,0,0.604912,0,0.649239,0.785592,0.802529,0.741095,0.692666,0.83702,0.687284,0.639953,0.635345,0.353802
seshat-pca,InVakat,348,0,0.650224,0,0.083468,0.7858,0.386546,0.741095,0.723043,0.83702,0.687284,0.693181,0.342758,0.453076
seshat-pca,IqAbbs1,847,0,0.895917,1,1,1,0.802529,0.917348,0.859245,0.387259,0.6061,0.769694,0.66141,0.464603
seshat-pca,IqAbbs2,1158,0,0.766294,0.403234,0.585152,1,0.571084,0.917348,0.790819,0.387259,0.578338,0.693474,0.640197,0.39544
seshat-pca,IqAkkad,-2212,0,0.734535,0.596766,0.768404,0.887864,0.358595,0.682949,0.491769,0.449761,0.578338,0.557368,0.442899,0.39544
seshat-pca,IqUrIII,-2054,0,0.604912,0.596766,0.349359,0.549622,0.184539,0.682949,0.532911,0.655848,0.578338,0.487866,0.442899,0.350034
seshat-pca,IrAchae,-429,0,0.895917,0.596766,1,1,0.802529,0.917348,0.880035,0.83702,0.6061,0.627847,0.976112,0.518472
seshat-pca,IrArcha,-5903,0,0,0,0.098688,0,0.174056,0,0.072288,0,0.578338,0.156615,0,0.069163
seshat-pca,IrBuyid,993,0,0.650224,0.596766,0.703999,0.784249,0.386546,0.917348,0.790819,0.83702,0.578338,0.690953,0.442247,0.442954
seshat-pca,IrForma,-6416,0,0,0,0.098688,0,0,0,0.065601,0,0.578338,0.329724,0,0.024795
seshat-pca,IrPart1,-40,0.663419,0.650224,0.596766,1,1,0.571084,1,0.858317,0.83702,0.578338,0.664614,0.635294,0.425551
seshat-pca,IrPrCer,-6778,0,0,0,0.098688,0,0,0,0.049788,0,0.578338,0.100696,0,0
seshat-pca,IrSafvd,1567,0,0.766294,0.258256,1,1,0.61799,1,0.822405,0.550239,0.578338,0.709922,0.817059,0.449308
seshat-pca,IrSasn2,577,0.663419,0.650224,0.596766,0.671268,1,0.61799,0.917348,0.763315,0.83702,0.823889,0.747937,0.715593,0.512117
seshat-pca,IrSasn1,364,0.663419,0.488842,0.596766,0.916532,0.678758,0.443934,1,0.77529,0.83702,0.578338,0.69696,0.648855,0.512117
seshat-pca,IrSeleu,-194,0.328061,0.650224,0.596766,0.882248,0.769539,0.61799,1,0.862071,0.83702,0.578338,0.698527,0.623206,0.440846
seshat-pca,IrSeljq,1125,0.335358,0.650224,0.596766,0.916532,1,0.802529,0.917348,0.793683,0.387259,0.578338,0.747768,0.820387,0.356388
seshat-pca,IrShima,-1953,0,0.895917,0.258256,0.104095,0.320712,0.184539,0.600297,0.387754,0.449761,0.578338,0.480481,0.450938,0.350034
seshat-pca,ItLatCA,-2301,0,0.11607,0,0,0,0.174056,0.435187,0.162206,0.21464,0.616649,0.03553,0,0
seshat-pca,ItLatIA,-982,0,0.11607,0,0,0.104961,0,0.435187,0.566612,0.655848,0.616649,0.18735,0,0.092921
seshat-pca,ItLatBA,-1503,0,0.11607,0,0,0,0.174056,0.435187,0.416182,0.449761,0.616649,0.079637,0,0
seshat-pca,ItOstrg,524,0.663419,0.766294,1,1,1,0.802529,0.917348,0.734463,0.83702,0.616649,0.612516,0.728683,0.440846
seshat-pca,ItPapRn,1451,0,0.779847,0.258256,0.880835,1,0.802529,0.917348,0.966811,1,0.616649,0.632021,0.913509,0.373689
seshat-pca,ItPapM1,1588,0,0.895917,0.596766,1,1,0.802529,0.917348,0.958801,1,0.616649,0.520868,0.817059,0.33263
seshat-pca,ItPapEM,1051,0,0.779847,0.258256,0.880835,1,0.602211,0.917348,0.837558,0.83702,0.616649,0.623832,0.817059,0.409391
seshat-pca,ItPapHM,1261,0,0.895917,0.258256,0.880835,1,0.802529,0.917348,0.979758,1,0.616649,0.640113,0.817059,0.371715
seshat-pca,ItPapM2,1742,0,0.895917,0.258256,1,1,1,0.917348,0.661351,0.78536,0.616649,0.550206,0.817059,0.362742
seshat-pca,ItRav**,652,1,0.766294,0.258256,1,1,0.802529,1,0.63369,0.622379,0.616649,0.531877,0.640959,0.440846
seshat-pca,ItRomMR,-195,1,0.766294,0.258256,1,1,0.802529,0.594465,0.680656,0.83702,0.616649,0.645545,0.444224,0.370535
seshat-pca,ItRomER,-384,1,0.766294,0.258256,0.77674,1,0.8147,0.435187,0.603386,0.83702,0.616649,0.45084,0.444224,0.270696
seshat-pca,ItRomLR,-73,1,0.766294,0.258256,1,1,0.802529,0,0.747157,0.622379,0.616649,0.773431,0.627854,0.493203
seshat-pca,ItRomPr,125,0.671939,0.766294,1,1,1,0.8147,0.677117,0.904902,0.83702,0.6061,0.823009,0.627854,0.636832
seshat-pca,ItRomRg,-619,0.335358,0.766294,0.258256,0.662896,0.551703,0.174056,0.435187,0.626936,0.83702,0.616649,0.345597,0.255033,0.220038
seshat-pca,ItRomWe,430,0.663419,0.766294,1,0.895905,1,0.802529,0.917348,0.831409,0.83702,0.616649,0.74487,0.913509,0.602452
seshat-pca,ItStPet,793,0,0.766294,0.258256,0.880835,1,0.61799,0.917348,0.63369,0.622379,0.616649,0.509795,0.640959,0.401794
seshat-pca,JpHeian,937,0,0.754307,0.258256,0.886156,1,0.802529,0.741095,0.7323,0.83702,1,0.628414,0.806147,0.33263
seshat-pca,JpKofun,354,0,0.592925,0,0.530391,0.654816,0.405501,0.082652,0.577163,0.655848,1,0.422374,0.254927,0.204243
seshat-pca,JpAzMom,1582,0,0.754307,0.596766,1,0.887864,0.802529,1,0.780924,1,1,0.676214,0.526387,0.401794
seshat-pca,JpKamak,1259,0,0.754307,0.596766,0.886156,0.775433,0.59004,1,0.740803,0.83702,1,0.629106,0.715593,0.431905
seshat-pca,JpSengk,1511,0,0.754307,0.258256,0.098688,0.326311,0.386546,1,0.76791,1,1,0.646338,0.350287,0.440513
seshat-pca,JpAshik,1398,0.663419,0.754307,1,1,0.887864,0.59004,1,0.688165,0.83702,1,0.64281,0.350287,0.494714
seshat-pca,JpTokgw,1735,0,0.870377,1,1,1,0.768555,1,0.792421,1,1,0.715527,0.898533,0.524826
seshat-pca,JpAsuka,619,0,0.592925,0.596766,0.683841,0.452133,0.61799,0.741095,0.544907,0.83702,1,0.550311,0.806147,0.362742
seshat-pca,JpYayoi,49,0,0.592925,0,0.187563,0,0.405501,0,0.384205,0.655848,1,0.473352,0.176101,0.092921
seshat-pca,KhAngkC,1140,0,0.895917,0.596766,1,1,0.358595,0.741095,0.720293,0.655848,0.726789,0.434178,0.538527,0.263467
seshat-pca,MnMngKh,1269,0.335358,0.488842,1,0.684647,0.545786,0.802529,0,0.785968,1,0,0.859852,0.613737,0.453118
seshat-pca,MxAlb1L,-203,0,0.592925,0,0.336786,0.104961,0,0,0.156976,0,0.710514,0.322201,0.159073,0.117155
seshat-pca,MxAlb2*,115,0,0.592925,0,0.336786,0.104961,0,0,0.156976,0,0.710514,0.372206,0.526877,0.089118
seshat-pca,MxAlb3A,432,0,0.592925,0,0.336786,0.104961,0,0,0.177926,0,0.710514,0.392341,0.526877,0.078104
seshat-pca,MxAlb3B,705,0,0.592925,0,0.222942,0.208281,0,0,0.177926,0,0.710514,0.365039,0.526877,0.192195
seshat-pca,MxAlb5*,1178,0,0.488842,0,0,0.208281,0,0,0.238608,0,0.710514,0.409997,0.430427,0.231247
seshat-pca,MxRosar,-603,0,0.592925,0,0,0.104961,0,0,0.114523,0,0.710514,0.265288,0.159073,0.108215
seshat-pca,MxTieLa,-1141,0,0,0,0,0,0,0,0.035409,0,0.710514,0.221883,0.159073,0.108215
seshat-pca,PeCuzE1,347,0,0,0,0.104095,0,0,0,0.041776,0,0.642212,0.076912,0,0.108215
seshat-pca,PeCuzL2,1317,0,0,0,0.650363,0,0,0.082652,0.208399,0,0.642212,0.462998,0.447561,0.278762
seshat-pca,PeCuzE2,560,0,0,0,0.104095,0,0,0,0.041776,0,0.642212,0.159708,0,0.131972
seshat-pca,PeCuzLF,122,0,0,0,0.104095,0,0,0,0.041776,0,0.642212,0.007973,0,0.081115
seshat-pca,PeCuzL1,1110,0,0,0,0.405416,0,0,0.082652,0.182388,0,0.642212,0.380001,0.447561,0.255004
seshat-pca,PeInca*,1473,0,0.245693,0.596766,0.881959,0,0.186228,0.082652,0.520258,0.449761,0.642212,0.617007,0.622837,0.39544
seshat-pca,PeWari*,860,0,0.11607,0,0.643947,0,0.174056,0,0.32109,0.449761,0.642212,0.307772,0.254927,0.233833
seshat-pca,PgOrokE,1669,0,0.245693,0,0.117752,0,0.186228,0,0.225349,0,0.012295,0.237329,0,0.155252
seshat-pca,PkChalc,-2928,0,0,0,0.30641,0,0.012172,0,0.029369,0,0.531892,0.221445,0,0
seshat-pca,RuYakuE,1543,0,0.11607,0,0,0,0.174056,0.435187,0.447743,0.206087,0.332889,0.352841,0,0.053869
seshat-pca,SdKusht,-707,0.328061,0.708995,0.258256,0.886156,1,0.358595,1,0.61121,0.655848,0.6061,0.59952,0.430427,0.308873
seshat-pca,SyCalUm,712,0,0.895917,0.596766,1,1,0.802529,0.917348,0.790251,0.622379,0.823889,0.744235,0.622837,0.417088
seshat-pca,TnFatim,1058,0.663419,0.895917,1,1,1,0.802529,1,0.845494,0.83702,0.6061,0.655468,0.913509,0.479015
seshat-pca,TrBrzMD,-2003,0,0.604912,0.258256,0.64895,0.208281,0.358595,0,0.402477,0.449761,0.640837,0.353002,0.080247,0.185841
seshat-pca,TrHatNK,-1264,0.328061,0.766294,0.258256,0.762794,0.549622,0.358595,0.435187,0.531981,0.655848,0.640837,0.534273,0.833262,0.341093
seshat-pca,TrBrzER,-2488,0,0.11607,0,0.182156,0,0.358595,0,0.312833,0.449761,0.640837,0.333024,0.080247,0.116678
seshat-pca,TrByzM2,993,0.663419,0.766294,0.596766,1,1,0.802529,0.917348,1,0.83702,0.640837,0.675995,0.555695,0.594967
seshat-pca,TrByzM1,744,0,0.766294,0.596766,1,1,0.802529,0.917348,1,0.83702,0.640837,0.653495,0.913509,0.583744
seshat-pca,TrCappL,-89,0,0.766294,0,0.64895,0.66279,0.386546,0.435187,0.443005,0.181172,0.640837,0.541613,0.430427,0.309927
seshat-pca,TrClcER,-5453,0,0,0,0,0,0,0,0.223998,0,0.640837,0.215416,0.176101,0.123032
seshat-pca,TrClcLT,-3853,0,0,0,0.083468,0,0.174056,0,0.2213,0.21464,0.640837,0.186088,0.080247,0.131972
seshat-pca,TrERom*,509,0,0.895917,0.596766,1,1,0.8147,0.917348,0.948639,0.83702,0.6061,0.728878,0.913509,0.595018
seshat-pca,TrHatOK,-1591,0.336581,0.708995,0.258256,0.679326,0.551384,0.358595,0.435187,0.531981,0.449761,0.640837,0.452652,0.635942,0.257113
seshat-pca,TrBrzL2,-1438,0,0.604912,0.258256,0.762794,0.43719,0.358595,0.435187,0.531981,0.449761,0.640837,0.432526,0.555695,0.341093
seshat-pca,TrLydia,-610,0,0.650224,0,0.327608,0.887039,0.571084,0.435187,0.453029,0.655848,0.640837,0.549567,0.430427,0.356388
seshat-pca,TrLysim,-218,0,0.766294,0.258256,0.880835,1,0.61799,0.435187,0.697744,0.655848,0.640837,0.499242,0.430427,0.263467
seshat-pca,TrNeoCR,-6678,0,0,0,0,0,0,0,0.108453,0,0.640837,0.237187,0,0.039052
seshat-pca,TrNeoER,-8278,0,0,0,0,0,0,0,0.056308,0,0.640837,0.064631,0,0
seshat-pca,TrNeoLT,-6228,0,0,0,0,0,0,0,0.209735,0,0.640837,0.251373,0,0.039052
seshat-pca,TrNHitt,-1066,0,0,0,0.762794,0,0,0.435187,0.522882,0.655848,0.640837,0.456129,0.459245,0.23971
seshat-pca,TrOttm4,1755,0,0.895917,0.596766,1,1,0.61799,0.917348,0.801499,1,0.6061,0.793212,1,0.656321
seshat-pca,TrOttm3,1616,0,0.895917,0.596766,1,1,0.802529,0.917348,0.890151,1,0.823889,0.789198,1,0.645664
seshat-pca,TrOttm2,1485,0,0.895917,0.596766,0.880835,1,0.802529,0.917348,0.961026,1,0.640837,0.713891,0.95789,0.521488
seshat-pca,TrOttm1,1384,0,0.734535,0.596766,0.766991,1,0.802529,0.917348,0.926324,1,0.640837,0.515561,0.736812,0.303961
seshat-pca,TrPhryg,-761,0,0.766294,0,0.530102,0.438742,0.174056,0.435187,0.461385,0.655848,0.640837,0.478145,0,0.269821
seshat-pca,TrRomDm,359,0,0.766294,1,1,1,0.583256,0.917348,0.830308,0.83702,0.6061,0.799116,0.627854,0.649966
seshat-pca,TrTabal,-867,0,0.488842,0.258256,0.083468,0.10332,0.174056,0.435187,0.41556,0.655848,0.640837,0.455678,0,0.23971
seshat-pca,USIllin,1689,0,0.245693,0,0.083468,0,0,0,0.159717,0,0.471512,0.28938,0.080247,0.053869
seshat-pca,USCahoE,1122,0.328061,0,0,0.308256,0,0.174056,0,0.079802,0,0.471512,0.327455,0.159073,0.201136
seshat-pca,Hawaii2,1455,0,0.11607,0,0.104095,0,0,0,0.049361,0,0.706187,0.238766,0.078826,0.039052
seshat-pca,USMisMW,10,0,0,0,0.083468,0,0.174056,0,0,0,0.471512,0.132647,0,0.039052
seshat-pca,USMisME,947,0.328061,0,0.258256,0.308256,0,0.186228,0,0.139566,0,0.471512,0.334765,0.159073,0.085762
seshat-pca,USMisPa,660,0,0,0,0.083468,0,0.174056,0,0.040226,0,0.471512,0.164902,0,0.039052
seshat-pca,USMisEW,-391,0,0,0,0.083468,0,0.174056,0,0,0,0.471512,0.123522,0,0
seshat-pca,USMisRo,335,0,0,0,0.083468,0,0.174056,0,0.040226,0,0.471512,0.295176,0.078826,0.039052
seshat-pca,USOneot,1520,0,0,0,0.182156,0,0,0,0.123133,0,0.471512,0.427583,0,0.039052
seshat-pca,USCahoL,1266,0.328061,0,0,0.308256,0,0.174056,0,0.079802,0,0.471512,0.356041,0.159073,0.162084
seshat-pca,UzKok01,-1250,0,0,0,0,0,0,0.176282,0.271715,0.655848,0.420366,0.31563,0.080247,0.039052
seshat-pca,UzTimur,1441,0,0.650224,0.596766,0.699803,1,0.443934,0.917348,0.883786,0.83702,0.578338,0.769281,0.619632,0.44205